architecture_layers,condition,seed,ood_accuracy_mean,measured_layer,scope,component,head,family,diagram_count,vertices_per_diagram,edges_per_diagram,loops_per_diagram,path_pairs_per_diagram,mean_loop_length,semantic_accuracy,prediction_consistency,identity_error,transport_error,holonomy_error,holonomy_systematic_error,holonomy_dispersion_error,holonomy_rotation_error,holonomy_linear_action_error,holonomy_edge_accumulation_ratio,path_agreement_error,path_endpoint_error,edge_cka,activation_variance
2,higher_diversity,0,0.664,1,token_mean,query,all,ite_expansion,96,2,2,1,0,2.0,nan,nan,0.47856440610920775,0.18359407712683545,0.054152074510926206,0.0027419868856668472,0.05141008645296097,1.5529125668647978,0.05694105685276189,0.1419170122351581,nan,nan,0.8154271245002747,0.019623011350631714
2,higher_diversity,0,0.664,1,token_mean,query,all,majority_duality,96,2,2,1,0,2.0,nan,nan,0.3132331296572394,0.051988265239087394,0.01513019530264482,0.0012476088013499975,0.013882586732506752,1.2019077081748597,0.014838711616887955,0.11587152620449259,nan,nan,0.801145076751709,0.01607375405728817
2,higher_diversity,0,0.664,1,token_mean,query,all,nary_and_hexagon,96,6,6,1,0,6.0,nan,nan,0.005180755865685604,0.007776713694977683,0.015810388757835744,0.0007108162390068173,0.015099572949111462,1.261437026821911,0.015102050744099664,0.26158412547449367,nan,nan,0.9969249367713928,0.017524825409054756
2,higher_diversity,0,0.664,1,cls,key,all,associativity_pentagon,96,5,8,1,1,5.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.9952907545565166,2.3163234980767586,0.0,0.0,0.0,1.0,1.0018970895975254e-11
2,higher_diversity,0,0.664,1,cls,key,all,commutativity_cube,96,8,24,6,5,4.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.9307385907788333,2.055523050763081,0.0,0.0,0.0,1.0,2.014846102460499e-11
2,higher_diversity,0,0.664,1,cls,key,all,commutativity_involution,96,2,2,1,0,2.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.843481125895502,4.4179706587879736e-14,0.0,nan,nan,1.0,1.539423861822431e-12
2,higher_diversity,0,0.664,1,cls,key,all,demorgan_and_square,96,4,4,1,0,4.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.9307385907788335,1.8540083064188193,0.0,nan,nan,1.0,6.81013405390285e-12
2,higher_diversity,0,0.664,1,cls,key,all,demorgan_or_square,96,4,4,1,0,4.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.9307385907788335,1.8540083064188193,0.0,nan,nan,1.0,6.81013405390285e-12
2,higher_diversity,0,0.664,1,cls,key,all,distributivity_diamond,96,4,5,2,1,3.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.887109858337168,1.7644927488539084,0.0,0.0,0.0,1.0,6.81013405390285e-12
2,higher_diversity,0,0.664,1,cls,key,all,double_negation,96,2,2,1,0,2.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.843481125895502,4.4179706587879736e-14,0.0,nan,nan,1.0,1.539423861822431e-12
2,higher_diversity,0,0.664,1,cls,key,all,exact1_hexagon,96,6,6,1,0,6.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.9416931493696739,1.8932013174604378,0.0,nan,nan,1.0,1.3416488406359228e-11
2,higher_diversity,0,0.664,1,cls,key,all,ite_expansion,96,2,2,1,0,2.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.843481125895502,4.4179706587879736e-14,0.0,nan,nan,1.0,1.539423861822431e-12
2,higher_diversity,0,0.664,1,cls,key,all,majority_duality,96,2,2,1,0,2.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.843481125895502,4.4179706587879736e-14,0.0,nan,nan,1.0,1.539423861822431e-12
2,higher_diversity,0,0.664,1,cls,key,all,nary_and_hexagon,96,6,6,1,0,6.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.9416931493696739,1.8932013174604378,0.0,nan,nan,1.0,1.3416488406359228e-11
2,higher_diversity,0,0.664,1,token_mean,key,all,associativity_pentagon,96,5,8,1,1,5.0,nan,nan,0.002527759780157914,0.003056088003213378,0.004960449074824277,0.0003648897691164166,0.0045955590903759,1.0762145187871377,0.004663689173239557,0.3475344447259567,0.0010422126507581694,0.006977495895811876,0.9987416863441467,0.013744249008595943
2,higher_diversity,0,0.664,1,token_mean,key,all,commutativity_cube,96,8,24,6,5,4.0,nan,nan,0.0028358924934509394,0.003196146708901179,0.0027879180353774613,0.0001509702851762995,0.002636947901919484,0.9006798855541808,0.0025958655721858947,0.2379284300448456,0.00011523676187864407,0.009666419547031077,0.9982712268829346,0.009278502315282822
2,higher_diversity,0,0.664,1,token_mean,key,all,commutativity_involution,96,2,2,1,0,2.0,nan,nan,0.007116736235475878,0.007559003202969802,0.0022486450606404263,0.00018394770449958742,0.0020646972116082907,1.1916879539548444,0.0020652278864552423,0.1811376184651399,nan,nan,0.9963026642799377,0.02298302948474884
2,higher_diversity,0,0.664,1,token_mean,key,all,demorgan_and_square,96,4,4,1,0,4.0,nan,nan,0.11651753135818667,0.018426497129219576,0.007633838259923376,0.000259188178461045,0.0073746503330767155,1.3397403223319715,0.008159304160897073,0.11092800873831264,nan,nan,0.9474077820777893,0.022133762016892433
2,higher_diversity,0,0.664,1,token_mean,key,all,demorgan_or_square,96,4,4,1,0,4.0,nan,nan,0.10428877880482695,0.018143230111593016,0.007519316577873537,0.0006570690893568099,0.006862247362732887,1.3715007239804506,0.007538955613632703,0.10687660183854875,nan,nan,0.9586654305458069,0.02230641432106495
2,higher_diversity,0,0.664,1,token_mean,key,all,distributivity_diamond,96,4,5,2,1,3.0,nan,nan,0.18250537792733385,0.11540321866615412,0.047904154460746085,0.0017688085790723562,0.04613534361124039,1.547357326326977,0.04852159194517119,0.13289339717823662,0.058683211906647034,0.18832333782428448,0.9058926105499268,0.018595201894640923
2,higher_diversity,0,0.664,1,token_mean,key,all,double_negation,96,2,2,1,0,2.0,nan,nan,0.6738497563982971,0.06950660855191411,0.007997935656488056,0.000807411503046751,0.007190524134784937,1.4073326935959167,0.008723591300556673,0.06181003622528167,nan,nan,0.8022390604019165,0.028024865314364433
2,higher_diversity,0,0.664,1,token_mean,key,all,exact1_hexagon,96,6,6,1,0,6.0,nan,nan,0.004579699918482498,0.005451228432229837,0.009828597966372364,0.0004156913491897285,0.009412906132638454,1.3262777080499544,0.009418348599566766,0.2974936720975198,nan,nan,0.9973037242889404,0.019004028290510178
2,higher_diversity,0,0.664,1,token_mean,key,all,ite_expansion,96,2,2,1,0,2.0,nan,nan,0.5513209389215333,0.18991964963789443,0.058771413377428756,0.0031494188588112593,0.05562199279665947,1.5163109986108234,0.06212933721995969,0.14609959343455028,nan,nan,0.7818270921707153,0.02144795097410679
2,higher_diversity,0,0.664,1,token_mean,key,all,majority_duality,96,2,2,1,0,2.0,nan,nan,0.2268652794524054,0.04932408153638512,0.013464685156909021,0.0009236846817657351,0.012541001662611961,1.1813332086337447,0.013263373826633493,0.11451454811144833,nan,nan,0.8918934464454651,0.016058845445513725
2,higher_diversity,0,0.664,1,token_mean,key,all,nary_and_hexagon,96,6,6,1,0,6.0,nan,nan,0.0050993343445253315,0.0072104721981638255,0.012862626578366638,0.0006126997759565711,0.01224992610514164,1.1894148742722233,0.012253200588604778,0.2563177080242575,nan,nan,0.9970688223838806,0.01730678230524063
2,higher_diversity,0,0.664,1,cls,value,all,associativity_pentagon,96,5,8,1,1,5.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.9590977425339346,1.8256822358465974,0.0,0.0,0.0,1.0,6.949988327897838e-12
2,higher_diversity,0,0.664,1,cls,value,all,commutativity_cube,96,8,24,6,5,4.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.903834548063028,1.8569842768204765,0.0,0.0,0.0,1.0,2.0003906517351844e-11
2,higher_diversity,0,0.664,1,cls,value,all,commutativity_involution,96,2,2,1,0,2.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.84885143996224,4.107569734521065e-14,0.0,nan,nan,1.0,1e-12
2,higher_diversity,0,0.664,1,cls,value,all,demorgan_and_square,96,4,4,1,0,4.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.9038345480630279,1.762896886157404,0.0,nan,nan,1.0,4.743321620898078e-12
2,higher_diversity,0,0.664,1,cls,value,all,demorgan_or_square,96,4,4,1,0,4.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.9038345480630279,1.762896886157404,0.0,nan,nan,1.0,4.743321620898078e-12
2,higher_diversity,0,0.664,1,cls,value,all,distributivity_diamond,96,4,5,2,1,3.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.876342994012634,1.9501108490661276,0.0,0.0,0.0,1.0,4.743321620898078e-12
2,higher_diversity,0,0.664,1,cls,value,all,double_negation,96,2,2,1,0,2.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.84885143996224,4.107569734521065e-14,0.0,nan,nan,1.0,1e-12
