architecture_layers,condition,measured_layer,scope,component,head,models,identity_error_mean,identity_error_std,transport_error_mean,transport_error_std,holonomy_error_mean,holonomy_error_std,holonomy_rotation_error_mean,holonomy_rotation_error_std,holonomy_linear_action_error_mean,holonomy_linear_action_error_std,holonomy_systematic_error_mean,holonomy_systematic_error_std,holonomy_dispersion_error_mean,holonomy_dispersion_error_std,holonomy_edge_accumulation_ratio_mean,holonomy_edge_accumulation_ratio_std,path_agreement_error_mean,path_agreement_error_std,path_endpoint_error_mean,path_endpoint_error_std,activation_variance_mean,activation_variance_std,edge_improvement_over_identity_mean,edge_improvement_over_identity_std,supported_models
2,higher_diversity,1,cls,key,all,3,0.0,0.0,0.0,0.0,0.0,0.0,1.931795982556552,0.026936417742296284,1.18868839475472,0.10792954588487644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.755929136307158e-12,1.1435171989610708e-12,nan,0.0,0
2,higher_diversity,1,cls,query,all,3,0.0,0.0,0.0,0.0,0.0,0.0,1.9353847286981007,0.00428945627832587,1.25155839347264,0.02150934358210949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.191413684248504e-11,7.173465603309985e-12,nan,0.0,0
2,higher_diversity,1,cls,value,all,3,0.0,0.0,0.0,0.0,0.0,0.0,1.9204020681057512,0.017787675122587915,1.2035322340383794,0.06836984931335015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.886722254038039e-12,8.216701627635983e-13,nan,0.0,0
2,higher_diversity,1,token_mean,key,all,3,0.1672942766022104,0.009733062824262981,0.043245800144495444,0.0009549603299536049,0.01593834102105991,0.0001489613362088316,1.2742908368285732,0.004745795191420706,0.016144587745057285,0.0002986968083182083,0.0007661782116029468,7.353177106555218e-05,0.015172162671771015,0.00011328306254086995,0.1767897638180047,0.00400088890214206,0.02062249558393255,0.0012925740176919606,0.06903949154885769,0.002187243640974278,0.01899083966219967,0.00018241401470127887,0.7408977785941238,0.016357136046650487,3
2,higher_diversity,1,token_mean,query,all,3,0.21056327635509095,0.024652245125652342,0.044232735029332816,0.0005074834189836601,0.016790061224574406,0.000983194673040291,1.2759084049803981,0.0068072650903840334,0.017266389010662086,0.001167997281302222,0.0008016259794892518,4.263398998299185e-05,0.015988435412785322,0.0009915269212151566,0.17967241761574707,0.006520613409363849,0.021278052735065996,0.0014838932044219592,0.07054445074993032,0.0027385686190576778,0.01764982236041264,0.0010470186996586464,0.7881373546396556,0.023021205261412346,3
2,higher_diversity,1,token_mean,value,all,3,0.1589669696382239,0.010043878097314855,0.04026874814900836,0.0006890922887954038,0.014137308513420752,0.00031595359974142753,1.2723071643295814,0.009297135441035952,0.014223358890002159,0.00031910457177596236,0.0006995576517180201,3.9406812852275054e-06,0.013437751073841797,0.0003183630979763101,0.1657153976135258,0.007696199679884811,0.01800591499875033,0.0006243899337627688,0.06455233746365362,0.00225771417532386,0.02041357191223087,0.0003627505763195324,0.7461716274332847,0.012498839052282603,3
2,higher_diversity,2,cls,key,all,3,1.1246358597015937,0.26015327884203066,0.7464580149997073,0.1162918185170853,0.5947139469535686,0.043907624165711465,1.7004247941151664,0.019917552825690032,0.6879866235534952,0.14480298485104154,0.05858192954099539,0.026960786502133707,0.5361320256735339,0.07035531399484184,0.2711894096061586,0.015023985004740538,0.36237057034712644,0.07171362681384648,0.99712252608577,0.14356167587760885,0.33355014387405285,0.03954355097468556,0.32325830515842396,0.11976960703336946,3
2,higher_diversity,2,cls,query,all,3,1.042053001085909,0.31480563040719484,0.6112785593483934,0.07534049760567241,0.48481910430997827,0.016812498961638125,1.699646480638618,0.029171462447664446,0.6016688051797936,0.16469172323946407,0.04842864232363575,0.02162447851518167,0.4363904579570799,0.034185376214896514,0.2634486070446456,0.015258504543035303,0.26079782061840745,0.05183660577776957,0.8202166956201361,0.1116743876027977,0.5784942593538399,0.05493354679065414,0.3906876467045797,0.12139555701921412,3
2,higher_diversity,2,cls,value,all,3,1.1071544753984461,0.24006265049613143,0.752786314930885,0.08792809236705607,0.593435503638458,0.0414989644531539,1.7044185191540067,0.026490062333282993,0.6728581709936291,0.06351782674385387,0.051854957586549455,0.02583989750684084,0.5415805395353924,0.04211906132609052,0.26705424611416956,0.025264121712294217,0.3709080611028149,0.039882075835277774,1.016493766785612,0.08195898382511657,0.3117565964207505,0.029225892837214204,0.3052617942405553,0.12235298542973688,3
2,higher_diversity,2,token_mean,key,all,3,0.22976548427872556,0.0268920679224802,0.1409148203578178,0.013631920813934094,0.07138180645566113,0.019703821878392508,1.3712069190517007,0.015079811935345747,0.06968367845212259,0.01883487642977111,0.004539242778043968,0.0016521141049347888,0.06684256356322404,0.018051745574155776,0.19268065442556878,0.020757518252896,0.043755222297187,0.010566749760600127,0.16998123938997414,0.030586778000230967,0.03339060923705498,0.003727933710107048,0.38541470516002113,0.02583004438592446,3
2,higher_diversity,2,token_mean,query,all,3,0.25409369023388145,0.021257925638949265,0.14655226177932823,0.007830597212985822,0.08904168179753598,0.01753585798212142,1.3799222421647526,0.01429153010129337,0.08793256311610398,0.017061700748710933,0.00492306280471949,0.0012492311184117595,0.08411862001274571,0.01628737872693476,0.21504748371688975,0.014484021576921375,0.050438901546076303,0.005990402261695219,0.1734913817156349,0.02074211230805459,0.029135634727550274,0.001158377028546038,0.4221512297547399,0.022895378177327844,3
