architecture_layers,condition,seed,baseline,ood_accuracy_mean,transport_error,holonomy_error,holonomy_rotation_error,holonomy_linear_action_error,holonomy_systematic_error,holonomy_dispersion_error,holonomy_edge_accumulation_ratio,path_agreement_error,path_endpoint_error
2,higher_diversity,0,fitted,0.664,0.9744872007765687,0.6884890598751418,1.7657485831821857,0.8463976607231442,0.06189727486873215,0.6265917989340696,0.252954215068476,0.3617510438526829,1.2458585858112918
2,higher_diversity,0,identity,0.664,1.389987082904454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2943827995443844
2,higher_diversity,0,shuffled,0.664,1.8611755787791504,2.1073720503338538,1.9891169663943555,2.0010784910227253,0.4462545510720123,1.6611175780946559,0.3704963170541691,1.8944143247369318,2.0162791343372284
2,higher_diversity,1,fitted,0.6705000000000001,0.9797772067887114,0.6964345630855534,1.7808014426268253,0.7552730021495591,0.10205617572434923,0.5943783995780078,0.26181020975791675,0.31137032010186455,1.2057528832814695
2,higher_diversity,1,identity,0.6705000000000001,1.2631181091100039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1393949319955594
2,higher_diversity,1,shuffled,0.6705000000000001,1.8927716527024288,1.9849400436333808,1.992782465694827,1.9159803430971232,0.277189302935519,1.7077507376670837,0.3541333731350596,2.3166133149990835,2.0615069523021687
2,higher_diversity,2,fitted,0.652,1.0064724504861322,0.667571662546686,1.754139653872141,0.7809197494832468,0.044020483270287514,0.6235511817715385,0.2642688380527137,0.3129094995937183,1.1355977517566094
2,higher_diversity,2,identity,0.652,1.3110155229656593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.208147877699022
2,higher_diversity,2,shuffled,0.652,1.8438243151142353,1.8501913725687742,1.999933183688178,1.9208451448892774,0.15261640585958958,1.6975750001994045,0.3686984508810292,2.24718461391613,1.9409216992334828
2,low_diversity,0,fitted,0.6395,1.2088114438973763,0.509580302500789,1.787670244852678,0.5705284074161869,0.04221096897328442,0.4673693396828391,0.22894639034340117,0.19098847517053638,1.3088716884820955
2,low_diversity,0,identity,0.6395,1.5267690603511541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4642896319845
2,low_diversity,0,shuffled,0.6395,1.7138672143199947,1.700796318585784,2.0009238930296096,1.8622237050465138,0.06738859482786873,1.6334076632152905,0.36197891871292004,1.3311525949236844,1.5788386879629055
2,low_diversity,1,fitted,0.6355,1.1377817834991264,0.576387599058592,1.768230728362463,0.7283196148148715,0.05031457928601991,0.5260730114850131,0.2539875312783402,0.2626314349257172,1.2935844818994624
2,low_diversity,1,identity,0.6355,1.6198144480067485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5698892184748168
2,low_diversity,1,shuffled,0.6355,1.6894669631295083,1.6868409634457693,1.9903639215419702,1.894775617827689,0.11452182610942559,1.5723191445524043,0.35585735602654744,1.9792299455483617,1.9356542188776322
2,low_diversity,2,fitted,0.6285000000000001,1.2893312150928375,0.7561365043873696,1.7869933428149871,0.8508371845840466,0.027625784785910087,0.7285107130354102,0.30082437203470586,0.3035891266569532,1.58482058074938
2,low_diversity,2,identity,0.6285000000000001,1.5618974639884953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.995072810987974
2,low_diversity,2,shuffled,0.6285000000000001,1.7973680401069487,1.8639120475755784,1.9904922858914078,2.0132089420647397,0.03258078181269494,1.8313312855633823,0.3903659012990664,2.60934529032548,1.825132526948481
4,higher_diversity,0,fitted,0.6625000000000001,1.0737799909931005,0.8358448879263897,1.7620857231928484,0.8501388982046638,0.0614227181808515,0.7744221822781996,0.2949243610785665,0.38878029160309385,1.1887021907849389
4,higher_diversity,0,identity,0.6625000000000001,1.2129397007229121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1418946592941095
4,higher_diversity,0,shuffled,0.6625000000000001,1.9831439502018346,2.0820029426876463,2.0078230520008526,2.0872343810987366,0.13076582110740922,1.9512371041558005,0.37021731389531704,2.245405170898135,2.158517748248602
4,higher_diversity,1,fitted,0.658,1.1042816008132172,0.819682953967069,1.7673023669799606,0.7975185364186185,0.08844023748216304,0.7312427027658983,0.28910677096272724,0.4333685182695579,1.2099440921210165
4,higher_diversity,1,identity,0.658,1.2139386458169137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1641708462402438
4,higher_diversity,1,shuffled,0.658,1.8882510781269601,2.085758281789356,1.9923454252970088,2.020931780013544,0.1682261379266327,1.9175321513956243,0.37632381636113243,2.0254621925553415,2.097612010631067
4,higher_diversity,2,fitted,0.652,1.080550120658996,0.7916687270364468,1.7429581317416913,0.8207357326646267,0.05775441233576699,0.7339142886075106,0.2876598226700793,0.2648133305994386,1.1484148517467663
4,higher_diversity,2,identity,0.652,1.2264896266827103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1810791983739002
4,higher_diversity,2,shuffled,0.652,1.850654530376868,1.9699930132391132,1.9888964815697276,1.9846676436724082,0.11353612462566658,1.8564568649638782,0.365924453146836,1.9460755693633545,2.0288966156237747
4,low_diversity,0,fitted,0.6465000000000001,1.1119469914166797,0.5052059510322818,1.7069606231854215,0.5724853964793246,0.02492827792990614,0.48027767918326636,0.26383455613794904,0.10702304942991371,1.1569349584047635
4,low_diversity,0,identity,0.6465000000000001,1.5171958269906334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4520163717566952
4,low_diversity,0,shuffled,0.6465000000000001,1.8615821137978612,1.8760746327270186,1.9906742994029385,2.0945181085673963,0.09464069108732721,1.7814338965849443,0.37900489235132667,1.7509643283053908,1.9685101214814524
4,low_diversity,1,fitted,0.639,1.0527548320021087,0.5533862119393923,1.7146626213980374,0.6286184722848825,0.052928751334547997,0.5004574670033022,0.30070762733706563,0.16610168150162635,1.1370830741696072
4,low_diversity,1,identity,0.639,1.5084006716646279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.242388353395646
4,low_diversity,1,shuffled,0.639,1.7900079619366354,1.733198886994395,1.973047537579786,1.815859153077792,0.23199927764521402,1.5011996003714474,0.33886976325076784,2.2696533366898692,1.8669622605268952
4,low_diversity,2,fitted,0.6305000000000001,1.189299119353493,0.5669363034875027,1.755712716078894,0.6341874737747123,0.04480707302520221,0.5221292200413618,0.2880644613201993,0.15908899104307359,1.4466512898023245
4,low_diversity,2,identity,0.6305000000000001,1.496624701774618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8081244812610464
4,low_diversity,2,shuffled,0.6305000000000001,1.6699932382512614,1.9572774763243048,1.9829623796848426,2.1244050211008245,0.07313729594038292,1.8841401663693516,0.4236113056704902,2.0056693973186124,1.9108372643742444
6,higher_diversity,0,fitted,0.687,0.9418186978768124,0.7155030580519199,1.7308760124743647,0.7506631787349495,0.04896014014428312,0.6665428903969851,0.2971138723096558,0.3422711413025101,1.114772168870631
6,higher_diversity,0,identity,0.687,1.127560008553457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0784399135033664
6,higher_diversity,0,shuffled,0.687,1.878068445089902,2.0100912771894497,1.999656488651764,2.0231526817534196,0.11603046555749395,1.8940607851201838,0.36402565079005417,1.751066688773194,1.9330809714892567
6,higher_diversity,1,fitted,0.679,1.1050213956125619,0.8929862676111651,1.7469473460627898,0.9014560231397364,0.08892076132311062,0.8040655174038627,0.30197549097773474,0.3979849887544522,1.2414830605044924
6,higher_diversity,1,identity,0.679,1.256150046603153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2234014384495373
6,higher_diversity,1,shuffled,0.679,1.9219113635399196,2.080158023828458,1.982418997343535,2.005018466378339,0.21242572197859938,1.8677323081276633,0.37022552639891876,1.856079012492548,1.9934433723947003
6,higher_diversity,2,fitted,0.6775,0.9908733841408778,0.7017164440813942,1.746625656280637,0.7216519166983344,0.058267823843793434,0.6434486156160181,0.289503245232078,0.32461051127428603,1.0426636282409538
6,higher_diversity,2,identity,0.6775,1.1163056431011324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0103363848312537
6,higher_diversity,2,shuffled,0.6775,1.9861094510125632,2.0191055027908758,1.9879180080975056,2.0001973540539,0.13585660691288384,1.8832488493485884,0.3522799509087768,1.9629604027920984,2.043180330329051
6,low_diversity,0,fitted,0.639,1.041143363941492,0.3443015979527139,1.676573735948778,0.3687991751434476,0.024541260293600233,0.3197603306987069,0.2554230821423868,0.06466534937423445,1.1696008700838514
6,low_diversity,0,identity,0.639,1.4239729688594658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5236176360120848
6,low_diversity,0,shuffled,0.639,1.6754225038484258,1.6024037094558288,1.9854649266426299,1.811475372796261,0.08990219921212304,1.5125015323812312,0.32506877367485454,1.2768871403654114,1.656254057868818
6,low_diversity,1,fitted,0.6275,1.0120673895829273,0.4692471192527718,1.6828569348827065,0.5395000360573828,0.025898043362593107,0.4433490661057559,0.26206357274715614,0.1210542639996336,1.0693673757057673
6,low_diversity,1,identity,0.6275,1.4035934734693951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.134779005736423
6,low_diversity,1,shuffled,0.6275,1.743838795858341,1.7082990819102173,2.0017181148291665,1.9045114311301996,0.12599304733289915,1.5823060111566023,0.3606989589600605,2.3258318362898893,2.0406053608113166
6,low_diversity,2,fitted,0.6475,1.1541500620469742,0.4626659950910993,1.7419861936725107,0.5458840884331038,0.037507124414498154,0.42515887320041656,0.272057872521779,0.12966165948866762,1.199899759877967
6,low_diversity,2,identity,0.6475,1.5196056046910682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5027483735005243
6,low_diversity,2,shuffled,0.6475,1.7535431530881624,1.834946407713902,2.0031162497489285,2.054471227851073,0.09315985377708619,1.7417865666476162,0.4014340442291676,1.5539099193998378,1.7576866750666265
