architecture_layers,condition,seed,ood_accuracy_mean,baseline,family,diagram_count,vertices_per_diagram,edges_per_diagram,loops_per_diagram,path_pairs_per_diagram,mean_loop_length,semantic_accuracy,prediction_consistency,identity_error,transport_error,holonomy_error,holonomy_systematic_error,holonomy_dispersion_error,holonomy_rotation_error,holonomy_linear_action_error,holonomy_edge_accumulation_ratio,path_agreement_error,path_endpoint_error,edge_cka,activation_variance
2,higher_diversity,0,0.664,fitted,associativity_pentagon,96,5,8,1,1,5.0,0.5979166666666667,0.6354166666666666,0.5110397091845367,0.5582996995222005,0.4868278414958454,0.024091530591249466,0.4627363681793213,1.6662015979824243,0.4702818132093944,0.2926168992352787,0.12320482109340289,1.0621467663803927,0.5901512503623962,0.6971271634101868
2,higher_diversity,0,0.664,fitted,commutativity_cube,96,8,24,6,5,4.0,0.5833333333333334,0.3541666666666667,0.6087520100366032,0.6824382478395867,0.45781875623190443,0.010436773300170898,0.44738200306892395,1.653529899929028,0.438588900690528,0.25761767672720703,0.1920099723547646,1.4940095004750025,0.4885057806968689,0.7618271708488464
2,higher_diversity,0,0.664,fitted,commutativity_involution,96,2,2,1,0,2.0,0.6614583333333334,0.6979166666666666,1.1309818007210202,1.1796019478147732,0.544807161416555,0.011290530674159527,0.5335166454315186,1.715123977154165,0.534617026757904,0.3359399805081191,nan,nan,0.27168840169906616,0.8151443004608154
2,higher_diversity,0,0.664,fitted,demorgan_and_square,96,4,4,1,0,4.0,0.546875,0.4791666666666667,1.647021485892588,0.756410540840163,0.2875068813033191,0.01769949309527874,0.2698073983192444,1.8831469646682006,1.130118658343541,0.10945591498919145,nan,nan,0.023536477237939835,0.39346227049827576
2,higher_diversity,0,0.664,fitted,demorgan_or_square,96,4,4,1,0,4.0,0.5598958333333334,0.40625,1.6041800680900327,0.9991028777212366,0.7855344673985063,0.41634348034858704,0.3691909611225128,1.9114905177967108,0.9432798526882998,0.21818327183339428,nan,nan,0.04135240614414215,0.3700424134731293
2,higher_diversity,0,0.664,fitted,distributivity_diamond,96,4,5,2,1,3.0,0.5651041666666666,0.3854166666666667,1.2381024391265898,1.0367991433608195,0.5678332627343506,0.03398780897259712,0.5338454246520996,1.796294610077916,0.5788460748168262,0.22993160549511926,0.7700383381098812,1.1814194905784805,0.20731154084205627,0.8367007374763489
2,higher_diversity,0,0.664,fitted,double_negation,96,2,2,1,0,2.0,0.5364583333333334,0.40625,2.5001001258335673,1.2684553127123808,0.9616677781881802,0.019811108708381653,0.9418567419052124,1.6085824530125132,1.1314222868989432,0.39512610668350295,nan,nan,0.19883251190185547,0.644559383392334
2,higher_diversity,0,0.664,fitted,exact1_hexagon,96,6,6,1,0,6.0,0.5416666666666666,0.2604166666666667,0.9678607590845846,1.1112504719882628,1.3289353556881118,0.08039917796850204,1.2485361099243164,1.8578422397846948,1.2579956752693935,0.21462356938475816,nan,nan,0.3108918368816376,0.1480865478515625
2,higher_diversity,0,0.664,fitted,ite_expansion,96,2,2,1,0,2.0,0.578125,0.6145833333333334,1.6588283112346363,1.2327251783580202,0.8415808635045211,0.01725165732204914,0.8243292570114136,1.784467695225093,0.931564026585385,0.3966963103010577,nan,nan,0.19712528586387634,0.8574292063713074
2,higher_diversity,0,0.664,fitted,majority_duality,96,2,2,1,0,2.0,0.5677083333333334,0.5729166666666666,2.580780508917523,0.9357959924047982,0.14773766912784703,0.01550968550145626,0.13222798705101013,1.6508965398819695,0.7587114745300015,0.08574927522418392,nan,nan,0.6336597204208374,0.38426709175109863
