architecture_layers,condition,seed,train_size,rewrite,count,identity_error,transport_error,cka,activation_variance
2,low_diversity,0,512,commute_and,96,1.2060565948486328,1.2213809490203857,0.19032610952854156,0.9136478900909424
2,low_diversity,0,512,double_negation_expand,96,2.461798906326294,1.4153109788894653,0.07592868059873581,0.9603176116943359
2,low_diversity,0,512,double_negation_reduce,96,2.236496686935425,1.6093910932540894,0.02012440375983715,0.9717617630958557
2,low_diversity,0,512,commute_and_under_not,96,2.005922317504883,2.0304832458496094,0.014444377273321152,0.4718571901321411
2,low_diversity,0,512,demorgan_and,96,2.872145652770996,0.7046302556991577,0.059997815638780594,0.9829093813896179
2,low_diversity,0,512,commute_or,96,1.52620267868042,1.546183466911316,0.0775492787361145,0.5033524036407471
2,low_diversity,0,512,demorgan_and_inverse,96,2.8607370853424072,0.8149884343147278,0.03317413479089737,0.9798570275306702
2,low_diversity,0,512,commute_or_under_not,96,1.9072961807250977,1.9294942617416382,0.013125279918313026,0.4958336353302002
2,low_diversity,0,512,demorgan_or,96,2.0968070030212402,1.351230263710022,0.041706450283527374,0.8825107216835022
2,low_diversity,0,512,demorgan_or_inverse,96,1.9791631698608398,1.248317003250122,0.06377185881137848,0.8770880699157715
2,low_diversity,0,512,associate_and_right,96,0.6361125111579895,0.6586999297142029,0.4980192184448242,0.9255397915840149
2,low_diversity,0,512,associate_and_left,96,0.43474867939949036,0.45791420340538025,0.6407361030578613,0.9119662642478943
2,low_diversity,0,512,swap_and3_12,96,1.4450805187225342,1.6671142578125,0.05561000853776932,0.21129274368286133
2,low_diversity,0,512,swap_and3_23,96,1.4248864650726318,1.4990735054016113,0.07958609610795975,0.3825055658817291
2,low_diversity,0,512,commute_and_in_context,96,0.6161659359931946,0.6786379218101501,0.5600225925445557,0.41008004546165466
2,low_diversity,0,512,commute_or_in_context,96,0.6705845594406128,0.7069078683853149,0.4674414098262787,0.4852890968322754
2,low_diversity,0,512,commute_xor_in_context,96,0.5095073580741882,0.555799663066864,0.5695521235466003,0.36201703548431396
2,low_diversity,0,512,distribute_and_over_or_left,96,1.7583552598953247,1.071872353553772,0.15396606922149658,0.9547616839408875
2,low_diversity,0,512,distribute_and_over_or_right,96,1.717971682548523,1.1104276180267334,0.14812196791172028,0.9270680546760559
2,low_diversity,0,512,parallel_commute_and,96,1.045216679573059,1.0801066160202026,0.2900921404361725,0.5460946559906006
2,low_diversity,0,512,distribute_and_over_or_left_inverse,96,1.7954412698745728,1.087602972984314,0.17486236989498138,0.9545460343360901
2,low_diversity,0,512,ite_expand,96,1.6919233798980713,1.225136160850525,0.1560012549161911,0.9265470504760742
2,low_diversity,0,512,ite_reduce,96,2.3114078044891357,1.5452594757080078,0.007098043337464333,0.8783204555511475
2,low_diversity,0,512,majority_duality,96,1.8681848049163818,1.2785108089447021,0.10863106697797775,0.8162830471992493
2,low_diversity,0,512,majority_duality_inverse,96,2.0679638385772705,1.396875262260437,0.038476016372442245,0.7920913696289062
2,low_diversity,0,512,swap_exact1_12,96,1.4117733240127563,1.4463071823120117,0.0848371833562851,0.9034910202026367
2,low_diversity,0,512,swap_exact1_23,96,1.5368062257766724,1.5757118463516235,0.05681689456105232,0.9019535183906555
2,low_diversity,1,512,commute_and,96,1.487839937210083,1.521346926689148,0.062375444918870926,0.8772799372673035
2,low_diversity,1,512,double_negation_expand,96,2.7055208683013916,1.1657910346984863,0.14354875683784485,0.8722877502441406
2,low_diversity,1,512,double_negation_reduce,96,2.3165321350097656,1.6126700639724731,0.02489667572081089,0.9583659172058105
2,low_diversity,1,512,commute_and_under_not,96,1.8049864768981934,1.841580867767334,0.01522055733948946,0.2082996815443039
2,low_diversity,1,512,demorgan_and,96,3.3274006843566895,0.49912869930267334,0.023386236280202866,0.9851674437522888
2,low_diversity,1,512,commute_or,96,1.7222013473510742,1.7439261674880981,0.08967695385217667,0.10450895875692368
2,low_diversity,1,512,demorgan_and_inverse,96,3.5107979774475098,0.3723878562450409,0.01512941811233759,0.9850311875343323
2,low_diversity,1,512,commute_or_under_not,96,1.6668052673339844,1.6494303941726685,0.034963399171829224,0.21783791482448578
2,low_diversity,1,512,demorgan_or,96,2.2667346000671387,1.1633765697479248,0.046459946781396866,0.8454325795173645
2,low_diversity,1,512,demorgan_or_inverse,96,2.3758554458618164,1.1485997438430786,0.06381294131278992,0.7639828324317932
2,low_diversity,1,512,associate_and_right,96,0.8190414905548096,0.8550170660018921,0.35045018792152405,0.8106034398078918
2,low_diversity,1,512,associate_and_left,96,0.5111697316169739,0.5506430268287659,0.579947292804718,0.9123371243476868
2,low_diversity,1,512,swap_and3_12,96,1.2929848432540894,1.3795139789581299,0.16636955738067627,0.08046887069940567
2,low_diversity,1,512,swap_and3_23,96,1.3525387048721313,1.4118692874908447,0.12624168395996094,0.1653667390346527
2,low_diversity,1,512,commute_and_in_context,96,0.9931585192680359,1.0583808422088623,0.2646028399467468,0.9100458025932312
2,low_diversity,1,512,commute_or_in_context,96,0.6404082179069519,0.6904962062835693,0.45348501205444336,0.9076403975486755
2,low_diversity,1,512,commute_xor_in_context,96,0.41324207186698914,0.44162309169769287,0.6998268365859985,0.9171982407569885
2,low_diversity,1,512,distribute_and_over_or_left,96,2.198817253112793,1.0518031120300293,0.09162572771310806,0.9504184722900391
2,low_diversity,1,512,distribute_and_over_or_right,96,2.177452564239502,1.2322850227355957,0.04481178894639015,0.9119332432746887
2,low_diversity,1,512,parallel_commute_and,96,1.2713960409164429,1.3207112550735474,0.15520347654819489,0.49645495414733887
2,low_diversity,1,512,distribute_and_over_or_left_inverse,96,1.9401708841323853,0.956489622592926,0.18624477088451385,0.9017501473426819
2,low_diversity,1,512,ite_expand,96,2.2470932006835938,1.2696806192398071,0.036285270005464554,0.9502029418945312
2,low_diversity,1,512,ite_reduce,96,2.4159862995147705,1.1392278671264648,0.034481022506952286,0.9290019869804382
2,low_diversity,1,512,majority_duality,96,2.445042133331299,1.3270151615142822,0.024524187669157982,0.7919793128967285
2,low_diversity,1,512,majority_duality_inverse,96,2.3501760959625244,1.4713475704193115,0.023381441831588745,0.8721659183502197
2,low_diversity,1,512,swap_exact1_12,96,1.075068712234497,1.088826060295105,0.25096359848976135,0.8167712092399597
2,low_diversity,1,512,swap_exact1_23,96,0.7629905939102173,0.8147940039634705,0.4133152663707733,0.8433530926704407
2,low_diversity,2,512,commute_and,96,1.5704357624053955,1.5842357873916626,0.06700257956981659,0.8258075714111328
2,low_diversity,2,512,double_negation_expand,96,2.38806414604187,1.4354215860366821,0.06398294121026993,0.9531380534172058
2,low_diversity,2,512,double_negation_reduce,96,2.073990821838379,1.6353657245635986,0.012069943360984325,0.9705245494842529
2,low_diversity,2,512,commute_and_under_not,96,1.7707687616348267,1.960276484489441,0.02034876123070717,0.7315539717674255
2,low_diversity,2,512,demorgan_and,96,2.5955162048339844,0.8757565021514893,0.0700530856847763,0.964195191860199
2,low_diversity,2,512,commute_or,96,1.3710439205169678,1.414222240447998,0.13907396793365479,0.40285611152648926
2,low_diversity,2,512,demorgan_and_inverse,96,2.6295619010925293,0.987530529499054,0.023776842281222343,0.9716811180114746
2,low_diversity,2,512,commute_or_under_not,96,1.5735235214233398,1.6484744548797607,0.071464903652668,0.6670101284980774
2,low_diversity,2,512,demorgan_or,96,1.5931363105773926,1.565080165863037,0.04494766518473625,0.7650502324104309
2,low_diversity,2,512,demorgan_or_inverse,96,1.5978343486785889,1.5218226909637451,0.042926181107759476,0.8356569409370422
2,low_diversity,2,512,associate_and_right,96,0.9797669053077698,1.0170904397964478,0.24939610064029694,0.7870030999183655
2,low_diversity,2,512,associate_and_left,96,0.6400906443595886,0.689537763595581,0.4784890115261078,0.718015193939209
2,low_diversity,2,512,swap_and3_12,96,1.2380403280258179,1.2995723485946655,0.1640327274799347,0.6856102347373962
2,low_diversity,2,512,swap_and3_23,96,1.3255106210708618,1.4241881370544434,0.12527844309806824,0.634792685508728
2,low_diversity,2,512,commute_and_in_context,96,1.1717692613601685,1.2276617288589478,0.1547575145959854,0.7781537175178528
2,low_diversity,2,512,commute_or_in_context,96,0.8484640121459961,0.9026287794113159,0.3324672281742096,0.882256031036377
2,low_diversity,2,512,commute_xor_in_context,96,0.49247729778289795,0.5291539430618286,0.5991644263267517,0.8101822733879089
2,low_diversity,2,512,distribute_and_over_or_left,96,2.5921664237976074,0.9841602444648743,0.05102609843015671,0.9672067761421204
2,low_diversity,2,512,distribute_and_over_or_right,96,2.411726236343384,1.0949598550796509,0.04718295857310295,0.962332546710968
2,low_diversity,2,512,parallel_commute_and,96,1.3907486200332642,1.4353431463241577,0.14756053686141968,0.4074150323867798
2,low_diversity,2,512,distribute_and_over_or_left_inverse,96,2.6402013301849365,1.03433096408844,0.02707328088581562,0.9643355011940002
2,low_diversity,2,512,ite_expand,96,2.4140334129333496,1.4905728101730347,0.009483521804213524,0.8972978591918945
2,low_diversity,2,512,ite_reduce,96,2.5003347396850586,1.4173742532730103,0.01029805839061737,0.8544125556945801
2,low_diversity,2,512,majority_duality,96,1.3740174770355225,1.3299535512924194,0.1407691389322281,0.7950558662414551
2,low_diversity,2,512,majority_duality_inverse,96,1.506959319114685,1.4279992580413818,0.07491756975650787,0.8809676170349121
2,low_diversity,2,512,swap_exact1_12,96,1.2855907678604126,1.3660763502120972,0.1392480731010437,0.9565594792366028
2,low_diversity,2,512,swap_exact1_23,96,1.2739877700805664,1.3326690196990967,0.1496799886226654,0.9456601738929749
2,higher_diversity,0,12000,commute_and,96,1.2284502983093262,1.2661799192428589,0.22859583795070648,0.7388596534729004
2,higher_diversity,0,12000,double_negation_expand,96,2.551034450531006,1.2303472757339478,0.3376532793045044,0.643231213092804
2,higher_diversity,0,12000,double_negation_reduce,96,2.4851462841033936,1.2626279592514038,0.1992434412240982,0.6526005864143372
2,higher_diversity,0,12000,commute_and_under_not,96,1.065623164176941,1.1194024085998535,0.42066729068756104,0.09379593282938004
2,higher_diversity,0,12000,demorgan_and,96,2.531769037246704,0.7557929754257202,0.24924138188362122,0.39001670479774475
2,higher_diversity,0,12000,commute_or,96,1.2326890230178833,1.3678512573242188,0.21903157234191895,0.2805323302745819
2,higher_diversity,0,12000,demorgan_and_inverse,96,2.6219656467437744,0.7857022881507874,0.19184279441833496,0.3917619287967682
2,higher_diversity,0,12000,commute_or_under_not,96,1.1359251737594604,1.1935079097747803,0.2788613438606262,0.09496095031499863
2,higher_diversity,0,12000,demorgan_or,96,2.362545967102051,0.9966985583305359,0.1627606302499771,0.38740554451942444
2,higher_diversity,0,12000,demorgan_or_inverse,96,2.428821325302124,0.9100955724716187,0.2860667407512665,0.3616737425327301
2,higher_diversity,0,12000,associate_and_right,96,0.6066350340843201,0.6512781977653503,0.5349328517913818,0.5615968704223633
2,higher_diversity,0,12000,associate_and_left,96,0.42242613434791565,0.48480507731437683,0.694078266620636,0.648664653301239
2,higher_diversity,0,12000,swap_and3_12,96,0.9943497776985168,1.1174533367156982,0.37408164143562317,0.4096353054046631
2,higher_diversity,0,12000,swap_and3_23,96,0.7546929717063904,0.873586118221283,0.44850730895996094,0.4595182240009308
2,higher_diversity,0,12000,commute_and_in_context,96,0.5796071290969849,0.6649463772773743,0.5543751120567322,0.7822228074073792
2,higher_diversity,0,12000,commute_or_in_context,96,0.6080743074417114,0.6757238507270813,0.5419069528579712,0.7805410027503967
2,higher_diversity,0,12000,commute_xor_in_context,96,0.5306293964385986,0.5880026817321777,0.6187385320663452,0.7696784138679504
2,higher_diversity,0,12000,distribute_and_over_or_left,96,1.3786115646362305,0.9467183351516724,0.31253722310066223,0.8457600474357605
2,higher_diversity,0,12000,distribute_and_over_or_right,96,1.540637731552124,1.1614742279052734,0.17621548473834991,0.8069055676460266
2,higher_diversity,0,12000,parallel_commute_and,96,1.0256893634796143,1.0994970798492432,0.3149900436401367,0.7296677231788635
2,higher_diversity,0,12000,distribute_and_over_or_left_inverse,96,1.487768530845642,1.0068084001541138,0.24511103332042694,0.876141369342804
2,higher_diversity,0,12000,ite_expand,96,1.6908268928527832,1.3570345640182495,0.14625324308872223,0.8582385182380676
2,higher_diversity,0,12000,ite_reduce,96,1.705815076828003,1.3380504846572876,0.14993299543857574,0.8408219218254089
2,higher_diversity,0,12000,majority_duality,96,2.473557710647583,0.9781625270843506,0.2008877992630005,0.3647589683532715
