architecture_layers,condition,seed,train_size,ood_accuracy_mean,family,diagram_count,vertices_per_diagram,edges_per_diagram,loops_per_diagram,path_pairs_per_diagram,mean_loop_length,semantic_accuracy,prediction_consistency,identity_error,transport_error,holonomy_error,path_agreement_error,path_endpoint_error,edge_cka,activation_variance
2,low_diversity,0,512,0.6395,associativity_pentagon,96,5,8,1,1,5.0,0.5645833333333333,0.5729166666666666,0.5983960634661181,0.6149654025414246,0.15139646549093086,0.03505301475870191,1.0703314418656529,0.5246650576591492,0.9507154822349548
2,low_diversity,0,512,0.6395,commutativity_cube,96,8,24,6,5,4.0,0.5390625,0.6979166666666666,0.8228197179195482,0.8649616311039612,0.3239835874266975,0.08672219342492923,1.6038873280298567,0.3485023081302643,0.3521299362182617
2,low_diversity,0,512,0.6395,commutativity_involution,96,2,2,1,0,2.0,0.5885416666666666,0.6979166666666666,1.1467555861274321,1.1859808402685676,0.2661392456337084,nan,nan,0.19661684334278107,0.9460843205451965
2,low_diversity,0,512,0.6395,demorgan_and_square,96,4,4,1,0,4.0,0.4661458333333333,0.10416666666666667,1.7514474120624812,0.8061436161329543,0.48607576019212106,nan,nan,0.012914163060486317,0.9827319979667664
2,low_diversity,0,512,0.6395,demorgan_or_square,96,4,4,1,0,4.0,0.4401041666666667,0.22916666666666666,1.701365033977556,1.3894790213172576,0.8381982708311879,nan,nan,0.01909015141427517,0.8890156745910645
2,low_diversity,0,512,0.6395,distributivity_diamond,96,4,5,2,1,3.0,0.5885416666666666,0.3541666666666667,1.4487870650337444,1.1587332442386589,0.3227370482307568,0.451190217327978,1.2523962955507768,0.09889001399278641,0.9173577427864075
2,low_diversity,0,512,0.6395,double_negation,96,2,2,1,0,2.0,0.5260416666666666,0.3854166666666667,2.502396501508032,1.3810827753593742,0.5471282970843624,nan,nan,0.12568208575248718,0.9427338242530823
2,low_diversity,0,512,0.6395,exact1_hexagon,96,6,6,1,0,6.0,0.4600694444444444,0.17708333333333334,1.419669970125611,1.450302197462328,0.41608475076474805,nan,nan,0.08105400204658508,0.8948838710784912
2,low_diversity,0,512,0.6395,ite_expansion,96,2,2,1,0,2.0,0.5,0.4791666666666667,2.152190975830287,1.506064481604246,0.5937205118263602,nan,nan,0.02128985896706581,0.9716590046882629
2,low_diversity,0,512,0.6395,majority_duality,96,2,2,1,0,2.0,0.4427083333333333,0.65625,1.9876266533495446,1.4338863098290684,0.2795727574620872,nan,nan,0.023265060037374496,0.6934029459953308
2,low_diversity,0,512,0.6395,nary_and_hexagon,96,6,6,1,0,6.0,0.5486111111111112,0.6875,1.2630046850379535,1.5053263630133,1.3803466325657192,nan,nan,0.13398724794387817,0.3670627176761627
2,low_diversity,1,512,0.6355,associativity_pentagon,96,5,8,1,1,5.0,0.5604166666666667,0.5833333333333334,0.6355147272216788,0.6670870072397276,0.3926470849895035,0.08132814696899722,1.2118788474309286,0.4722653031349182,0.8928231596946716
2,low_diversity,1,512,0.6355,commutativity_cube,96,8,24,6,5,4.0,0.5690104166666666,0.34375,0.7110939127530291,0.7568043355153778,0.34996757081104996,0.13201429164630943,1.5897700314604548,0.4184134006500244,0.9056465029716492
2,low_diversity,1,512,0.6355,commutativity_involution,96,2,2,1,0,2.0,0.5729166666666666,0.6041666666666666,1.6214496306243373,1.6391791223239318,0.3460666493389106,nan,nan,0.028314756229519844,0.8782547116279602
2,low_diversity,1,512,0.6355,demorgan_and_square,96,4,4,1,0,4.0,0.5182291666666666,0.041666666666666664,1.9052899043673148,0.4028433522588093,0.28463373616462967,nan,nan,0.001735973870381713,0.9794392585754395
2,low_diversity,1,512,0.6355,demorgan_or_square,96,4,4,1,0,4.0,0.5052083333333334,0.2708333333333333,1.729298775016677,1.1955325811791702,0.3896743075577826,nan,nan,0.01832253485918045,0.7964494228363037
2,low_diversity,1,512,0.6355,distributivity_diamond,96,4,5,2,1,3.0,0.5703125,0.19791666666666666,1.716928608462637,1.1644081667207127,0.457827263453449,0.5745518661618451,1.079104566807004,0.019597023725509644,0.9188340306282043
2,low_diversity,1,512,0.6355,double_negation,96,2,2,1,0,2.0,0.5208333333333334,0.4583333333333333,2.2526942355844195,1.5938008378367763,0.7266949851715435,nan,nan,0.048490602523088455,0.9355848431587219
2,low_diversity,1,512,0.6355,exact1_hexagon,96,6,6,1,0,6.0,0.5590277777777778,0.2604166666666667,1.153679957175719,1.183926449147911,0.39848733644199774,nan,nan,0.16749557852745056,0.8431992530822754
2,low_diversity,1,512,0.6355,ite_expansion,96,2,2,1,0,2.0,0.5520833333333334,0.4166666666666667,2.5314286192805,1.2172602337475582,0.6488046268889663,nan,nan,0.18413366377353668,0.9183099865913391
2,low_diversity,1,512,0.6355,majority_duality,96,2,2,1,0,2.0,0.4791666666666667,0.5625,2.2532160650400113,1.3001750990190857,0.8999293878966814,nan,nan,0.09304898977279663,0.7696822285652161
2,low_diversity,1,512,0.6355,nary_and_hexagon,96,6,6,1,0,6.0,0.4982638888888889,0.9270833333333334,1.307364452159862,1.39458243350133,1.445530640929998,nan,nan,0.08444259315729141,0.11513713002204895
2,low_diversity,2,512,0.6285000000000001,associativity_pentagon,96,5,8,1,1,5.0,0.5041666666666667,0.4791666666666667,0.8422028800982819,0.8826473381155003,0.39981730643947666,0.10441164260554223,1.7608731769244967,0.30972787737846375,0.8755044937133789
2,low_diversity,2,512,0.6285000000000001,commutativity_cube,96,8,24,6,5,4.0,0.5260416666666666,0.3333333333333333,0.8612291639099963,0.910826228621875,0.37264365466851584,0.16565466791806507,1.8491619177827963,0.3177073895931244,0.8269783854484558
2,low_diversity,2,512,0.6285000000000001,commutativity_involution,96,2,2,1,0,2.0,0.5885416666666666,0.65625,1.4758951811502585,1.503611690716159,0.3285954627754177,nan,nan,0.07810083031654358,0.8694879412651062
2,low_diversity,2,512,0.6285000000000001,demorgan_and_square,96,4,4,1,0,4.0,0.4609375,0.13541666666666666,1.7016183065705799,1.0105291105963594,1.6199337498568505,nan,nan,0.020716728642582893,0.9548988342285156
2,low_diversity,2,512,0.6285000000000001,demorgan_or_square,96,4,4,1,0,4.0,0.4791666666666667,0.4895833333333333,1.5256857265183013,1.5312233001408992,1.0665540728453158,nan,nan,0.0507173053920269,0.7147567868232727
