architecture_layers,condition,seed,train_size,split,depth,root_operator,count,accuracy,balanced_accuracy
4,low_diversity,1,512,ood,5,OR,71,0.676056338028169,0.5116396761133604
4,low_diversity,1,512,ood,5,OR3,60,0.85,0.6490384615384616
4,low_diversity,1,512,ood,5,OR4,76,0.9078947368421053,0.671830985915493
4,low_diversity,1,512,ood,5,XOR,76,0.4473684210526316,0.4597222222222222
4,low_diversity,1,512,ood,5,XOR3,62,0.43548387096774194,0.44497354497354497
4,low_diversity,1,512,ood,5,XOR4,82,0.5365853658536586,0.5199761478831246
4,low_diversity,2,512,id,3,AND,78,0.717948717948718,0.6611111111111112
4,low_diversity,2,512,id,3,AND3,74,0.8243243243243243,0.6452380952380953
4,low_diversity,2,512,id,3,AND4,69,0.8840579710144928,0.4621212121212121
4,low_diversity,2,512,id,3,ATLEAST2_4,81,0.6049382716049383,0.5383771929824561
4,low_diversity,2,512,id,3,EXACT1_3,69,0.5072463768115942,0.4322727272727273
4,low_diversity,2,512,id,3,ITE3,82,0.6341463414634146,0.6351190476190476
4,low_diversity,2,512,id,3,MAJ3,74,0.5405405405405406,0.5393939393939393
4,low_diversity,2,512,id,3,NOT,52,0.4230769230769231,0.4230769230769231
4,low_diversity,2,512,id,3,OR,61,0.6885245901639344,0.5634146341463415
4,low_diversity,2,512,id,3,OR3,66,0.8787878787878788,0.5555555555555556
4,low_diversity,2,512,id,3,OR4,76,0.881578947368421,0.7071428571428571
4,low_diversity,2,512,id,3,XOR,72,0.5833333333333334,0.5897832817337462
4,low_diversity,2,512,id,3,XOR3,69,0.4057971014492754,0.42586206896551726
4,low_diversity,2,512,id,3,XOR4,77,0.6103896103896104,0.6099865047233468
4,low_diversity,2,512,ood,5,AND,84,0.6309523809523809,0.5427655024946543
4,low_diversity,2,512,ood,5,AND3,88,0.6931818181818182,0.5414250207125103
4,low_diversity,2,512,ood,5,AND4,72,0.8194444444444444,0.6450549450549451
4,low_diversity,2,512,ood,5,ATLEAST2_4,63,0.6349206349206349,0.6036585365853658
4,low_diversity,2,512,ood,5,EXACT1_3,62,0.5161290322580645,0.5352564102564102
4,low_diversity,2,512,ood,5,ITE3,79,0.6329113924050633,0.6071428571428572
4,low_diversity,2,512,ood,5,MAJ3,62,0.532258064516129,0.48486486486486485
4,low_diversity,2,512,ood,5,NOT,63,0.5079365079365079,0.5030241935483871
4,low_diversity,2,512,ood,5,OR,71,0.6901408450704225,0.48785425101214575
4,low_diversity,2,512,ood,5,OR3,60,0.8666666666666667,0.5528846153846154
4,low_diversity,2,512,ood,5,OR4,76,0.9078947368421053,0.4859154929577465
4,low_diversity,2,512,ood,5,XOR,76,0.5,0.4986111111111111
4,low_diversity,2,512,ood,5,XOR3,62,0.5,0.4936507936507936
4,low_diversity,2,512,ood,5,XOR4,82,0.5,0.49224806201550386
4,higher_diversity,0,12000,id,3,AND,78,0.8333333333333334,0.7749999999999999
4,higher_diversity,0,12000,id,3,AND3,74,0.7972972972972973,0.655952380952381
4,higher_diversity,0,12000,id,3,AND4,69,0.9565217391304348,0.9772727272727273
4,higher_diversity,0,12000,id,3,ATLEAST2_4,81,0.7777777777777778,0.7456140350877193
4,higher_diversity,0,12000,id,3,EXACT1_3,69,0.5797101449275363,0.5754545454545454
4,higher_diversity,0,12000,id,3,ITE3,82,0.6829268292682927,0.6821428571428572
4,higher_diversity,0,12000,id,3,MAJ3,74,0.6621621621621622,0.6575757575757575
4,higher_diversity,0,12000,id,3,NOT,52,0.7307692307692307,0.7307692307692307
4,higher_diversity,0,12000,id,3,OR,61,0.9016393442622951,0.8884146341463415
